tconst,title_type,primary_title,alternate_title,is_adult,start_year,end_year,run_time_minutes,genres
tt0090858,tvEpisode,Coast to Coast,Coast to Coast,0,1986,,100,Drama
tt0091003,movie,Eliminators,Eliminators,0,1986,,96,"Action,Adventure,Fantasy"
tt0091129,movie,The Golden Child,The Golden Child,0,1986,,94,"Action,Adventure,Comedy"
tt0091178,movie,Haunted Honeymoon,Haunted Honeymoon,0,1986,,82,Comedy
tt0091521,movie,Milwr Bychan,Milwr Bychan,0,1987,,105,Drama
tt0091547,tvMiniSeries,Monte Carlo,Monte Carlo,0,1986,1986,200,Drama
tt0091574,tvMovie,The Murders in the Rue Morgue,The Murders in the Rue Morgue,0,1986,,100,"Crime,Horror,Mystery"
tt0091606,tvEpisode,Naming the Names,Naming the Names,0,1987,,,Drama
tt0091864,tvEpisode,Rocket to the Moon,Rocket to the Moon,0,1986,,118,"Comedy,Drama,Romance"
tt0091912,tvMovie,Season's Greetings,Season's Greetings,0,1986,,110,"Comedy,Drama"
tt0092039,tvEpisode,The Swords of Wayland,The Swords of Wayland,0,1984,,102,"Action,Drama,Fantasy"
tt0092191,tvMovie,Walter & June,Walter & June,0,1983,,63,Drama
tt0092239,tvMovie,The Worst Witch,The Worst Witch,0,1986,,70,"Comedy,Family,Fantasy"
tt0092318,tvEpisode,Barrington,Barrington,0,1987,,,"Action,Adventure,Comedy"
tt0092319,tvSeries,Beauty and the Beast,Beauty and the Beast,0,1987,1990,60,"Crime,Drama,Fantasy"
tt0092324,tvSeries,Blackadder the Third,Blackadder the Third,0,1987,1987,30,Comedy
tt0092437,tvSeries,The Ritz,The Ritz,0,1987,,300,"Comedy,Drama"
tt0092465,tvSeries,Tickets for the Titanic,Tickets for the Titanic,0,1987,1988,60,Comedy
tt0092471,tvMiniSeries,Tutti Frutti,Tutti Frutti,0,1987,1987,69,"Comedy,Drama,Music"
tt0092497,tvMovie,Agatha Christie's Miss Marple: 4:50 from Paddington,Miss Marple: 4.50 from Paddington,0,1987,,110,"Crime,Drama,Mystery"
tt0092735,tvMovie,Cause célèbre,Cause célèbre,0,1987,,109,"Crime,Drama"
tt0093044,movie,The Fourth Protocol,The Fourth Protocol,0,1987,,119,Thriller
tt0093103,movie,The Good Father,The Good Father,0,1985,,90,Drama
tt0093110,tvMovie,Grand Larceny,Grand Larceny,0,1987,,95,Thriller
tt0093150,tvEpisode,Harry's Kingdom,Harry's Kingdom,0,1987,,,
tt0093159,tvMovie,A Hazard of Hearts,A Hazard of Hearts,0,1987,,90,"Drama,Romance"
tt0093163,movie,Hearts of Fire,Hearts of Fire,0,1987,,95,"Drama,Music,Romance"
tt0093489,movie,Man on Fire,Man on Fire,0,1987,,92,"Action,Drama,Thriller"
tt0093490,tvMovie,Mandela,Mandela,0,1987,,135,Drama
tt0093562,movie,A Month in the Country,A Month in the Country,0,1987,,96,Drama
tt0093626,movie,Nightflyers,Nightflyers,0,1987,,89,"Horror,Mystery,Sci-Fi"
tt0093688,tvMiniSeries,Out on a Limb,Out on a Limb,0,1987,1987,235,"Biography,Drama,Romance"
tt0093834,movie,Reefer and the Model,Reefer and the Model,0,1988,,93,
tt0093868,tvEpisode,Road,Road,0,1987,,67,Drama
tt0093895,movie,Running Out of Luck,Running Out of Luck,0,1985,,80,"Adventure,Comedy,Drama"
tt0093935,tvMovie,The Secret Garden,The Secret Garden,0,1987,,100,"Drama,Family"
tt0093999,movie,Snow White,Snow White,0,1987,,85,"Family,Fantasy,Musical"
